Código do Termo (Tab 22 - TUSS);Termo (Tab 22 - TUSS)
40101010;ECG convencional de até 12 derivações
40101029;ECG de alta resolução
40101037;Teste ergométrico computadorizado (inclui ECG basal convencional)
40101045;Teste ergométrico convencional - 3 ou mais derivações simultâneas (inclui ECG basal convencional)
40101053;Variabilidade da frequência cardíaca
40101061;Ergoespirometria ou teste cardiopulmonar de exercício completo (espirometria forçada, consumo de O2, produção de CO2 e derivados, ECG, oximetria)
40102017;Bilimetria gástrica ou esofágica de 24 horas
40102025;Manometria computadorizada anorretal
40102033;Manometria computadorizada anorretal para biofeedback - 1ª sessão
40102041;Manometria computadorizada anorretal para biofeedback - demais sessões
40102050;Manometria esofágica computadorizada com teste provocativo
40102068;Manometria esofágica computadorizada sem teste provocativo
40102076;Manometria esofágica para localização dos esfíncteres pré-pH-metria
40102084;pH-metria esofágica computadorizada com um canal
40102092;pH-metria esofágica computadorizada com dois canais
40102106;pH-metria esofágica computadorizada com três canais
40102114;Impedâncio pH-metria esofágica
40102122;pH-metria gástrica de 24 horas com quatro canais
40102130;pH-metria esofágica de 24 horas com quatro canais
40102149;Manometria Biliar
40103013;Análise computadorizada da voz
40103021;Análise computadorizada de papila e/ou fibras nervosas - monocular (GDX)
40103030;Análise computadorizada do segmento anterior - monocular
40103048;Audiometria (tipo Von Bekesy)
40103056;Potencial evocado auditivo Steady State (ASSR)
40103064;Audiometria de tronco cerebral (PEA) BERA
40103072;Audiometria tonal limiar com testes de discriminação
40103080;Audiometria tonal limiar infantil condicionada (qualquer técnica) - Peep-show
40103099;Audiometria vocal - pesquisa de limiar de discriminação
40103102;Audiometria vocal - pesquisa de limiar de inteligibilidade
40103110;Audiometria vocal com mensagem competitiva (SSI, SSW)
40103137;Campimetria computadorizada - monocular
40103145;Variação de contingente negativo (PE/Tardio)
40103153;Craniocorporografia
40103161;Decay do reflexo estapédico
40103170;EEG de rotina
40103188;EEG intra-operatório para monitorização cirúrgica (EEG/IO) - por hora de monitorização
40103196;EEGQ quantitativo (mapeamento cerebral)
40103200;Eletrencefalograma especial: terapia intensiva, morte encefálica, EEG prolongado (até 2 horas)
40103234;Eletrencefalograma em vigília, e sono espontâneo ou induzido
40103242;Eletro-oculografia - monocular
40103250;Eletro-retinografia - monocular
40103269;Eletrococleografia (Ecochg)
40103277;Eletrocorticografia intra-operatória (ECOG) - por hora de monitorização
40103285;Eletroglotografia
40103307;Eletroneuromiografia (velocidade de condução) testes de estímulos para paralisia facial
40103315;Eletroneuromiografia de MMII
40103323;Eletroneuromiografia de MMSS
40103331;Eletroneuromiografia de MMSS e MMII
40103340;Eletroneuromiografia de segmento complementar
40103358;Eletroneuromiografia de segmento especial
40103366;Eletroneuromiografia genitoperineal
40103374;"EMG com registro de movimento involuntário (teste dinâmico de escrita; estudo funcional de tremores)"
40103382;EMG para monitoração de quimodenervação (por sessão)
40103390;EMG quantitativa ou EMG de fibra única
40103404;Espectrografia vocal
40103412;Gustometria
40103420;Imitanciometria de alta frequência
40103439;Impedanciometria - timpanometria
40103447;Método de Proetz (por sessão)
40103455;Otoemissões acústicas produto de distorção
40103463;Otoemissões evocadas transientes
40103471;Perimetria com scanning laser ophthalmoscope - monocular
40103480;Pesquisa de pares cranianos relacionados com o VIII PAR
40103498;Potencial evocado auditivo de tronco cerebral (PEA-TC)
40103501;Pesquisa do fenômeno de Tullio
40103510;Poligrafia de recém-nascido (maior ou igual 2 horas) (PG/RN)
40103528;Polissonografia de noite inteira (PSG) (inclui polissonogramas)
40103536;Polissonograma com EEG de noite inteira
